05C10;Infirmier en soins généraux
05C20;Infirmier de bloc opératoire
05C30;Infirmier en anesthésie-réanimation
05C40;Infirmier puériculteur
05C50;Infirmier perfusionniste
05F10;Sage-femme
05I10;Diététicien
05I20;Orthophoniste
05I30;Masseur Kinésithérapeute
05I40;Orthoptiste
05I50;Pédicure podologue
05I60;Ergothérapeute
05I70;Psychomotricien
05L10;Technicien de laboratoire médical
05L20;Préparateur(trice) en pharmacie hospitalière
05L30;Manipulateur en électroradiologie médicale
05L40;Physicien médical
05L50;Technicien(ne) circulation extracorporelle (CEC)/perfusionniste
05L60;Dosimétriste
05L70;Ingénieur en biologie médicale
05L80;Bio informaticien
05M20;Conseiller en génétique
05M60;Conseiller conjugal
05O10;Psychologue
05O20;Conseiller(ère) en génétique
05O60;Conseiller(ère) conjugal 
05R10;Aide-soignant
05R20;Socio-esthéticien
05R30;Brancardier
05R40;Assistant dentaire
05R50;Auxiliaire de puériculture
05R60;Agent de service mortuaire
05R70;Responsable de service mortuaire
05R80;Coiffeur(euse)
05R90;Encadrant transport sanitaire
05R95;Ambulancier
05T10;Coordinateur de parcours en santé
05T20;Coordinateur de prélèvement ou de transplantation d'organe
05U10;Cadre soignant de pôle
05U20;Encadrant d'unité de soins et d'activités paramédicales
05U30;Cadre responsable d'unité en obstétrique
05U40;Coordinateur(trice) parcours patient
05X10;Formateur des professionnels de santé
05X20;obstétrique
05Z10;Audioprothésiste
05Z20;Epithésiste
05Z30;Oculariste
05Z40;Orthopédiste-orthésiste
05Z50;Orthoprothésiste
05Z60;Podo-orthésiste
05Z70;Prothésiste dentaire
05Z80;Opticien lunetier
10C10;Responsable socio-éducatif
10C20;Encadrant socio-éducatif
10C30;Responsable de crèche
10F10;Educateur spécialisé
10F20;Educateur jeunes enfants
10F30;Educateur technique spécialisé
10F40;Assistant social
10F50;Conseiller en économie sociale et familiale
10F60;Mandataire judiciaire à la proctection des majeurs
10F70;Moniteur-éducateur
10F80;Educateur sportif
10I10;Aide médico psychologique
